Age,Gender,Occupation,Country,Mental_Health_Condition,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
36,Non-Binary,Sales,Canada,No,Yes,0,7.1,46,5
34,Female,Education,UK,Yes,No,0,7.5,47,8
65,Non-Binary,Sales,USA,Yes,No,0,8.4,58,10
34,Male,Other,Australia,No,No,0,9.8,30,2
22,Female,Healthcare,Canada,Yes,No,0,4.9,62,5
64,Non-Binary,IT,UK,Yes,No,1,6.3,34,0
26,Female,Engineering,UK,No,No,0,5.1,58,6
57,Male,IT,UK,Yes,Yes,1,4.2,57,9
25,Male,Education,USA,Yes,No,0,6.7,67,9
65,Non-Binary,Healthcare,India,No,Yes,0,8.9,57,6
52,Female,Other,India,No,No,0,8.3,79,10
23,Male,Engineering,Canada,Yes,No,1,5.7,57,2
36,Female,Finance,UK,Yes,No,0,4.1,77,5
30,Non-Binary,Other,Other,No,Yes,1,9.9,58,2
30,Female,Other,India,Yes,No,1,6.9,40,2
23,Female,Finance,Australia,No,No,0,9.5,39,9
30,Male,Sales,Australia,No,Yes,1,8.0,38,9
42,Non-Binary,Education,Canada,Yes,No,0,8.5,36,2
23,Male,Finance,USA,No,No,0,5.7,58,2
50,Non-Binary,Finance,UK,Yes,Yes,0,5.1,69,3
65,Male,IT,India,No,Yes,0,7.0,53,5
60,Female,Engineering,Germany,Yes,No,1,7.1,39,9
35,Male,Healthcare,Germany,Yes,No,1,6.4,65,6
49,Male,Healthcare,USA,Yes,No,1,6.6,74,3
63,Female,Engineering,Australia,No,No,0,5.5,32,1
26,Female,Education,UK,Yes,Yes,1,4.5,54,6
18,Non-Binary,Sales,Germany,No,Yes,0,9.2,67,3
20,Non-Binary,Engineering,Canada,Yes,Yes,1,8.9,77,7
40,Non-Binary,Healthcare,UK,Yes,No,0,4.7,33,3
36,Non-Binary,Engineering,Other,Yes,Yes,0,7.5,56,7
42,Female,Education,Canada,Yes,No,1,7.8,56,0
39,Non-Binary,IT,Other,Yes,Yes,1,4.2,76,10
48,Female,Other,India,No,No,0,10.0,67,3
36,Non-Binary,Engineering,UK,No,Yes,0,4.9,56,8
53,Male,Engineering,Other,No,No,0,4.6,56,10
46,Non-Binary,Sales,Germany,Yes,Yes,0,6.8,42,0
30,Female,Education,Australia,Yes,No,0,8.6,50,3
25,Female,Engineering,India,Yes,Yes,1,9.4,54,7
64,Female,Other,Other,No,No,0,6.0,65,2
59,Male,Other,UK,Yes,No,0,6.1,44,0
43,Male,Engineering,India,Yes,Yes,0,4.3,38,8
49,Male,Education,UK,Yes,Yes,1,6.8,36,10
58,Non-Binary,Finance,UK,No,Yes,0,5.1,45,3
60,Non-Binary,Other,USA,Yes,Yes,0,8.9,75,8
22,Non-Binary,IT,UK,Yes,Yes,1,4.8,50,8
43,Non-Binary,Other,Germany,No,No,0,9.8,70,9
45,Non-Binary,Finance,Canada,Yes,Yes,0,6.3,52,9
65,Non-Binary,Other,India,Yes,Yes,0,9.7,71,5
65,Male,Education,Australia,Yes,No,0,8.4,52,3
54,Non-Binary,Education,UK,No,Yes,0,6.0,71,10
50,Non-Binary,Sales,India,Yes,Yes,1,7.4,69,9
36,Male,Education,USA,No,Yes,0,4.4,41,4
21,Male,Sales,Australia,Yes,No,0,9.4,72,3
18,Female,Other,India,No,Yes,0,9.0,31,6
62,Female,Sales,Australia,Yes,No,1,9.7,42,6
56,Male,Engineering,India,No,Yes,0,4.8,64,0
44,Non-Binary,IT,Australia,Yes,Yes,1,8.2,67,10
33,Non-Binary,Sales,Germany,Yes,No,1,4.6,44,1
62,Male,Education,Germany,Yes,Yes,0,5.5,74,6
38,Non-Binary,Other,Australia,Yes,Yes,0,7.3,39,7
55,Non-Binary,Engineering,Canada,No,Yes,0,9.0,46,0
30,Non-Binary,IT,Other,Yes,No,1,4.3,33,6
28,Male,Healthcare,USA,Yes,Yes,0,4.9,68,4
65,Female,Education,Australia,No,No,1,7.7,44,1
50,Female,Sales,Australia,Yes,Yes,0,7.0,43,9
22,Male,IT,Other,Yes,No,0,9.7,45,0
28,Male,Other,USA,No,Yes,0,7.3,67,8
37,Non-Binary,Education,India,No,Yes,0,9.5,43,1
44,Non-Binary,Other,India,Yes,No,0,7.1,63,8
27,Non-Binary,Finance,Other,Yes,No,0,6.4,71,7
25,Female,Healthcare,Germany,No,Yes,0,9.2,39,0
36,Female,Education,USA,Yes,Yes,1,6.2,46,4
42,Non-Binary,Other,Germany,Yes,Yes,1,7.0,56,0
46,Female,Finance,USA,No,No,0,7.4,50,4
22,Non-Binary,Engineering,UK,Yes,No,0,4.9,58,9
54,Female,Other,Australia,No,Yes,0,6.2,76,6
53,Non-Binary,Engineering,USA,No,Yes,0,7.7,79,7
31,Male,Healthcare,UK,Yes,Yes,0,6.0,61,3
53,Male,Engineering,USA,Yes,No,0,7.0,76,10
44,Male,Healthcare,Germany,Yes,No,0,5.6,46,8
57,Female,IT,India,No,No,0,9.4,44,3
28,Female,Education,Other,Yes,Yes,1,7.3,37,9
65,Male,Other,Canada,Yes,Yes,0,8.2,46,4
35,Female,Healthcare,USA,Yes,Yes,0,8.0,53,6
28,Non-Binary,Education,Canada,No,No,0,8.1,69,5
18,Non-Binary,Other,Germany,No,No,0,7.7,42,1
42,Male,Engineering,Canada,No,Yes,0,6.7,66,2
45,Female,Finance,USA,Yes,No,0,8.7,42,4
57,Non-Binary,Finance,Other,No,No,0,5.7,54,5
64,Male,Healthcare,Canada,Yes,Yes,0,5.4,30,5
29,Female,Sales,USA,Yes,Yes,1,8.6,52,6
20,Male,Other,UK,Yes,No,0,8.0,49,4
36,Male,IT,India,Yes,No,1,8.8,80,7
21,Non-Binary,Engineering,Germany,No,No,1,6.9,61,3
26,Male,Healthcare,Canada,No,No,1,5.6,77,2
22,Non-Binary,Other,India,Yes,Yes,0,7.6,66,10
46,Female,Engineering,USA,No,No,1,5.1,46,8
39,Female,IT,Other,No,No,0,6.8,41,7
55,Non-Binary,Finance,USA,Yes,No,1,7.5,76,6
63,Non-Binary,Engineering,Australia,No,Yes,1,7.0,60,3
25,Male,IT,Canada,Yes,Yes,1,7.3,74,8
