Age,Gender,Occupation,Country,Severity,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
36,Non-binary,Sales,Canada,Medium,Yes,Medium,7.1,46,5
34,Female,Education,UK,None,No,Low,7.5,47,8
65,Non-binary,Sales,USA,High,No,Low,8.4,58,10
34,Male,Other,Australia,Low,No,Medium,9.8,30,2
22,Female,Healthcare,Canada,Low,No,Medium,4.9,62,5
64,Non-binary,IT,UK,High,No,High,6.3,34,0
26,Female,Engineering,UK,Medium,No,Medium,5.1,58,6
57,Male,IT,UK,Medium,Yes,High,4.2,57,9
25,Male,Education,USA,None,No,Medium,6.7,67,9
65,Non-binary,Healthcare,India,None,Yes,Low,8.9,57,6
52,Female,Other,India,None,No,Medium,8.3,79,10
23,Male,Engineering,Canada,None,No,High,5.7,57,2
36,Female,Finance,UK,None,No,Low,4.1,77,5
30,Non-binary,Other,Other,None,Yes,High,9.9,58,2
30,Female,Other,India,None,No,High,6.9,40,2
23,Female,Finance,Australia,None,No,Low,9.5,39,9
18,Prefer not to say,Education,USA,None,No,Medium,8.8,74,5
30,Male,Sales,Australia,High,Yes,High,8.0,38,9
53,Prefer not to say,Engineering,Australia,High,No,Low,6.9,50,4
42,Non-binary,Education,Canada,High,No,Low,8.5,36,2
23,Male,Finance,USA,None,No,Low,5.7,58,2
50,Non-binary,Finance,UK,High,Yes,Low,5.1,69,3
65,Male,IT,India,None,Yes,Medium,7.0,53,5
60,Female,Engineering,Germany,Medium,No,High,7.1,39,9
35,Male,Healthcare,Germany,Low,No,High,6.4,65,6
49,Male,Healthcare,USA,None,No,High,6.6,74,3
47,Prefer not to say,Finance,UK,Medium,No,Low,5.7,30,0
63,Female,Engineering,Australia,Low,No,Medium,5.5,32,1
26,Female,Education,UK,None,Yes,High,4.5,54,6
34,Prefer not to say,IT,Germany,Medium,Yes,High,9.3,48,8
18,Non-binary,Sales,Germany,None,Yes,Medium,9.2,67,3
20,Non-binary,Engineering,Canada,Medium,Yes,High,8.9,77,7
45,Prefer not to say,Sales,Canada,None,No,Low,8.0,70,10
40,Non-binary,Healthcare,UK,None,No,Low,4.7,33,3
56,Prefer not to say,Finance,UK,Low,No,Low,4.1,67,5
36,Non-binary,Engineering,Other,Low,Yes,Medium,7.5,56,7
42,Female,Education,Canada,Low,No,High,7.8,56,0
39,Non-binary,IT,Other,None,Yes,High,4.2,76,10
